# path,cls
..\_tiles\T001_01.png_0.png,1
..\_tiles\T001_01.png_1.png,1
..\_tiles\T001_01.png_2.png,1
..\_tiles\T001_01.png_3.png,1
..\_tiles\T001_01.png_4.png,1
..\_tiles\T001_01.png_5.png,1
..\_tiles\T001_01.png_6.png,1
..\_tiles\T001_01.png_7.png,1
..\_tiles\T001_01.png_8.png,1
..\_tiles\T001_01.png_9.png,1
..\_tiles\T001_01.png_10.png,1
..\_tiles\T001_01.png_11.png,1
..\_tiles\T001_01.png_12.png,1
..\_tiles\T001_01.png_13.png,1
..\_tiles\T001_01.png_14.png,1
..\_tiles\T001_01.png_15.png,1
..\_tiles\T001_01.png_16.png,1
..\_tiles\T001_01.png_17.png,1
..\_tiles\T001_01.png_18.png,1
..\_tiles\T001_01.png_19.png,1
..\_tiles\T001_01.png_20.png,1
..\_tiles\T001_01.png_21.png,1
..\_tiles\T001_01.png_22.png,1
..\_tiles\T001_01.png_23.png,1
..\_tiles\T001_01.png_24.png,1
..\_tiles\T001_01.png_25.png,1
..\_tiles\T001_01.png_26.png,1
..\_tiles\T001_01.png_27.png,1
..\_tiles\T001_01.png_28.png,1
..\_tiles\T001_01.png_29.png,1
..\_tiles\T001_01.png_30.png,1
..\_tiles\T001_01.png_31.png,1
..\_tiles\T001_01.png_32.png,1
..\_tiles\T001_01.png_33.png,1
..\_tiles\T001_01.png_34.png,1
..\_tiles\T001_01.png_35.png,1
..\_tiles\T001_01.png_36.png,1
..\_tiles\T001_01.png_37.png,1
..\_tiles\T001_01.png_38.png,1
..\_tiles\T001_01.png_39.png,1
..\_tiles\T001_01.png_40.png,1
..\_tiles\T001_01.png_41.png,1
..\_tiles\T001_01.png_42.png,1
..\_tiles\T001_01.png_43.png,1
..\_tiles\T001_01.png_44.png,1
..\_tiles\T001_01.png_45.png,1
..\_tiles\T001_01.png_46.png,1
..\_tiles\T001_01.png_47.png,1
..\_tiles\T001_01.png_48.png,1
..\_tiles\T001_01.png_49.png,1
..\_tiles\T001_01.png_50.png,1
..\_tiles\T001_01.png_51.png,1
..\_tiles\T001_01.png_52.png,1
..\_tiles\T001_01.png_53.png,1
..\_tiles\T001_01.png_54.png,1
..\_tiles\T001_01.png_55.png,1
..\_tiles\T001_01.png_56.png,1
..\_tiles\T001_01.png_57.png,1
..\_tiles\T001_01.png_58.png,1
..\_tiles\T001_01.png_59.png,1
..\_tiles\T001_01.png_60.png,1
..\_tiles\T001_02.png_0.png,1
..\_tiles\T001_02.png_1.png,1
..\_tiles\T001_02.png_2.png,1
..\_tiles\T001_02.png_3.png,1
..\_tiles\T001_02.png_4.png,1
..\_tiles\T001_02.png_5.png,1
..\_tiles\T001_02.png_6.png,1
..\_tiles\T001_02.png_7.png,1
..\_tiles\T001_02.png_8.png,1
..\_tiles\T001_02.png_9.png,1
..\_tiles\T001_02.png_10.png,1
..\_tiles\T001_02.png_11.png,1
..\_tiles\T001_02.png_12.png,1
..\_tiles\T001_02.png_13.png,1
..\_tiles\T001_02.png_14.png,1
..\_tiles\T001_02.png_15.png,1
..\_tiles\T001_02.png_16.png,1
..\_tiles\T001_02.png_17.png,1
..\_tiles\T001_02.png_18.png,1
..\_tiles\T001_02.png_19.png,1
..\_tiles\T001_02.png_20.png,1
..\_tiles\T001_02.png_21.png,1
..\_tiles\T001_02.png_22.png,1
..\_tiles\T001_02.png_23.png,1
..\_tiles\T001_02.png_24.png,1
..\_tiles\T001_02.png_25.png,1
..\_tiles\T001_02.png_26.png,1
..\_tiles\T001_02.png_27.png,1
..\_tiles\T001_02.png_28.png,1
..\_tiles\T001_02.png_29.png,1
..\_tiles\T001_02.png_30.png,1
..\_tiles\T001_02.png_31.png,1
..\_tiles\T001_02.png_32.png,1
..\_tiles\T001_02.png_33.png,1
..\_tiles\T001_02.png_34.png,1
..\_tiles\T001_02.png_35.png,1
..\_tiles\T001_02.png_36.png,1
..\_tiles\T001_02.png_37.png,1
..\_tiles\T001_02.png_38.png,1
